155,Narsapuram,,375,12,,,2019-10-18 09:14:15.605038,2019-10-18 09:14:15.605038,,,,,,
156,Pedamainavanilanka,,375,12,,,2019-10-18 09:14:15.639344,2019-10-18 09:14:15.639344,,,,,,
157,Palakayatippa,,260,5,,,2019-10-18 09:14:15.663652,2019-10-18 09:14:15.663652,,,,,,
158,Chinagollapalem,,292,5,,,2019-10-18 09:14:15.69609,2019-10-18 09:14:15.69609,,,,,,
159,Etipoguru,,292,5,,,2019-10-18 09:14:15.732649,2019-10-18 09:14:15.732649,,,,,,
160,Orlagonditippa,,292,5,,,2019-10-18 09:14:15.776516,2019-10-18 09:14:15.776516,,,,,,
161,Cambelpeta,,312,5,,,2019-10-18 09:14:15.820028,2019-10-18 09:14:15.820028,,,,,,
162,Fishing harbour,,359,5,,,2019-10-18 09:14:15.855367,2019-10-18 09:14:15.855367,,,,,,
164,Kanuru,,312,5,,,2019-10-18 09:14:15.920207,2019-10-18 09:14:15.920207,,,,,,
165,Kpt palem,,312,5,,,2019-10-18 09:14:15.944366,2019-10-18 09:14:15.944366,,,,,,
166,Manginapudi,,312,5,,,2019-10-18 09:14:15.979794,2019-10-18 09:14:15.979794,,,,,,
167,Polatippa,,312,5,,,2019-10-18 09:14:16.021529,2019-10-18 09:14:16.021529,,,,,,
168,Pt palem,,312,5,,,2019-10-18 09:14:16.084483,2019-10-18 09:14:16.084483,,,,,,
169,Thallapalem,,312,5,,,2019-10-18 09:14:16.156311,2019-10-18 09:14:16.156311,,,,,,
170,Edurumondi,,359,5,,,2019-10-18 09:14:16.18017,2019-10-18 09:14:16.18017,,,,,,
171,Elachetladibba,,359,5,,,2019-10-18 09:14:16.201347,2019-10-18 09:14:16.201347,,,,,,
172,Etimoga,,359,5,,,2019-10-18 09:14:16.242799,2019-10-18 09:14:16.242799,,,,,,
173,Gummalamoda,,359,5,,,2019-10-18 09:14:16.297853,2019-10-18 09:14:16.297853,,,,,,
174,Nachugunta,,359,5,,,2019-10-18 09:14:16.335028,2019-10-18 09:14:16.335028,,,,,,
115,Jodugullapalem,,665,10,,,2019-10-18 09:14:14.180104,2019-10-25 13:19:55.976081,,,,,,
114,Jalariyendada,,666,10,,,2019-10-18 09:14:14.148036,2019-10-25 13:23:54.135982,,,,,,
117,Mulapalem,,666,10,,,2019-10-18 09:14:14.222692,2019-10-25 13:24:51.771387,,,,,,
118,Pedajalaripeta,,666,10,,,2019-10-18 09:14:14.278581,2019-10-25 13:25:37.61417,,,,,,
116,Kothajalaripeta,,666,10,,,2019-10-18 09:14:14.201981,2019-10-25 13:26:23.602706,,,,,,
113,Fishing harbour,,666,10,,,2019-10-18 09:14:14.118748,2019-10-25 13:28:12.455996,,,,,,
163,Gilakaladindi Fishing Harbour,,312,5,,,2019-10-18 09:14:15.893366,2019-10-25 13:47:25.477886,,,,,,
175,Nagayalanka,,359,5,,,2019-10-18 09:14:16.381738,2019-10-18 09:14:16.381738,,,,,,
176,Pathapakali,,359,5,,,2019-10-18 09:14:16.426283,2019-10-18 09:14:16.426283,,,,,,
177,Sorlagondi,,359,5,,,2019-10-18 09:14:16.474897,2019-10-18 09:14:16.474897,,,,,,
178,Yesupuram,,359,5,,,2019-10-18 09:14:16.522891,2019-10-18 09:14:16.522891,,,,,,
179,Zinkapalem,,359,5,,,2019-10-18 09:14:16.558857,2019-10-18 09:14:16.558857,,,,,,
180,Adarsanagar,,53,4,,,2019-10-18 09:14:16.57778,2019-10-18 09:14:16.57778,,,,,,
181,Adavaipallipalem,,53,4,,,2019-10-18 09:14:16.604215,2019-10-18 09:14:16.604215,,,,,,
182,Kothavodarevu,,53,4,,,2019-10-18 09:14:16.64818,2019-10-18 09:14:16.64818,,,,,,
183,Krupanagar,,53,4,,,2019-10-18 09:14:16.690742,2019-10-18 09:14:16.690742,,,,,,
184,Muthayapalem,,53,4,,,2019-10-18 09:14:16.729042,2019-10-18 09:14:16.729042,,,,,,
185,Ramachandrapuram,,53,4,,,2019-10-18 09:14:16.760793,2019-10-18 09:14:16.760793,,,,,,
186,Ramanagar,,53,4,,,2019-10-18 09:14:16.801084,2019-10-18 09:14:16.801084,,,,,,
187,Ramapuram,,53,4,,,2019-10-18 09:14:16.828655,2019-10-18 09:14:16.828655,,,,,,
188,Suryalanka,,53,4,,,2019-10-18 09:14:16.864777,2019-10-18 09:14:16.864777,,,,,,
189,Adavuladeevi,,389,4,,,2019-10-18 09:14:16.905107,2019-10-18 09:14:16.905107,,,,,,
190,Dindi adavala,,389,4,,,2019-10-18 09:14:16.924589,2019-10-18 09:14:16.924589,,,,,,
191,Fishing harbour,,389,4,,,2019-10-18 09:14:16.948662,2019-10-18 09:14:16.948662,,,,,,
192,Gokarnamatam,,389,4,,,2019-10-18 09:14:16.973881,2019-10-18 09:14:16.973881,,,,,,
