District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
517,Prakasam,5145,Chandra Sekhara Puram,235129,Ambavaram Kothapalli
519,Srikakulam,4783,Hiramandalam,210769,Ambavellia
506,Guntur,5085,Tsundur,200841,Ambedkarnagar
523,West Godavari,4963,Bhimadole,214309,Amberpet
520,Visakhapatanam,4872,Chodavaram,211865,Amberupuram
510,Krishna,4996,Gampalagudem,203057,Ambireddigudem
503,Chittoor,5420,Gangadhara Nellore,196956,Ambodharapalle
519,Srikakulam,4776,Mandasa,211019,Ambugam
503,Chittoor,5381,Varadaiahpalem,197975,Ambur
503,Chittoor,5377,Yerpedu,198094,Amduru
506,Guntur,5072,Phirangipuram,200576,Ameenabad
510,Krishna,5026,Pamidimukkala,203612,Ameenapuram
506,Guntur,5069,Nadendla,200411,Ameensahebpalem
502,Anantapur,5317,Uravakonda,196680,Amidala
502,Anantapur,5350,Madakasira,196258,Amidalagondi
503,Chittoor,5370,Gurramkonda,197049,Amilepalle
505,East Godavari,4912,Kothapalle,199382,Aminabada
505,East Godavari,4888,Rajavommangi,199650,Aminabada
503,Chittoor,5413,Chowdepalle,196938,Aminigunta
521,Vizianagaram,4821,Therlam,213180,Amity
505,East Godavari,4929,K Gangavaram,199506,Amjuru
503,Chittoor,5394,Sodam,197730,Ammagaripalle
502,Anantapur,5314,Peddapappur,196392,Ammaladinne
517,Prakasam,5126,Naguluppala Padu,234778,Ammanabrolu
523,West Godavari,4953,Jangareddigudem,214575,Ammapalem
523,West Godavari,4964,Pedavegi,214863,Ammapalem
503,Chittoor,5378,Srikalahasti,197761,Ammapalem
515,SPSR Nellore,5187,Venkatagiri,209140,Ammapalem
517,Prakasam,5147,Voletivaripalem,235761,Ammapalem
503,Chittoor,5408,Karvetinagar,197169,Ammapalli
520,Visakhapatanam,4853,Golugonda,211958,Ammapeta
503,Chittoor,5416,Peddapanjani,197405,Ammarajupalle
510,Krishna,5005,Agiripalle,202908,Ammavarigudem
517,Prakasam,5151,Gudluru,235189,Ammavaripalem
515,SPSR Nellore,5176,Podalakur,208882,Ammavaripalem
520,Visakhapatanam,4876,Kasimkota,235290,Ammensahebpeta
511,Kurnool,5299,Dornipadu,204103,Ammireddinagaram
519,Srikakulam,4800,Polaki,211245,Ampalam
510,Krishna,5004,Bapulapadu,202962,Ampapuram
521,Vizianagaram,4815,Balijipeta,212357,Ampavalli
519,Srikakulam,4784,Palakonda,211159,Ampili
519,Srikakulam,4801,Gara,210745,Ampolu
519,Srikakulam,4777,Kanchili,210852,Ampuram
520,Visakhapatanam,4861,Sabbavaram,212307,Amrutapuram
506,Guntur,5086,Amruthalur,199960,Amruthalur
503,Chittoor,5432,Palasamudram,197376,Amudala
