mandal_name,village_code,village_name
316,591051,Annangi
430,590334,Annaparru
139,592921,Annapusastrula Palle
529,591944,Annareddipalem
512,595754,Annasamipalle
593,590572,Annasamudram
593,590572,Annasamudram
62,586141,Annavaram
206,588845,Annavaram
207,591701,Annavaram
263,590286,Annavaram
263,590286,Annavaram
263,590286,Annavaram
277,586276,Annavaram
391,589050,Annavaram
406,580774,Annavaram
430,590336,Annavaram
519,590137,Annavaram
519,590137,Annavaram
519,590137,Annavaram
531,587054,Annavaram
519,590142,Annavarappadu
309,591571,Anneboinapalle
309,591571,Anneboinapalle
510,588997,Anneraopeta
208,581093,Annupuram
537,580932,Annupuram
250,596428,Annurkasabagayat
524,586035,Antakapalle
525,587858,Antarvedi
525,587858,Antarvedi
525,587858,Antarvedi
525,587858,Antarvedi
80,588036,Antarvedigudem
525,587855,Antarvedipalem
525,587855,Antarvedipalem
289,585678,Anthada
194,580731,Anthakapalle
485,581331,Anthakapalli
420,580143,Antharaba
301,581958,Antijola
544,582265,Antipeta
532,581035,Antlavaram
258,594045,Anugonda
206,588842,Anumanchipalle
427,590258,Anumarlapudi
28,591846,Anumasamudram
28,591836,Anumasamudrampeta
149,588958,Anumollanka
411,594843,Anumpalle
411,594843,Anumpalle
411,594843,Anumpalle
483,591172,Anumula Palle
483,591172,Anumula Palle
364,588239,Anumunilanka
364,588239,Anumunilanka
112,596705,Anupalle
492,596248,Anupalle
415,594261,Anupur
441,587356,Anuru
441,587356,Anuru
44,593055,Appajipeta
78,581210,Appalapatnayakuni Peta
49,594383,Appalapuram
564,587985,Appalarajugudem
491,582495,Appalarajupeta
92,585938,Appalarajupuram
456,596296,Appambattu
79,586271,Appampalem
322,587812,Appanapalle
525,587854,Appanaramuni Lanka
319,586303,Appandorapalem
419,582141,Appandoravalasa
224,590353,Appapuram
305,581604,Appapuram
325,589318,Appapuram
511,580828,Appapuram
107,593416,Apparajupalle
567,588322,Apparaopeta
567,588322,Apparaopeta
567,588322,Apparaopeta
567,588322,Apparaopeta
597,591641,Appasamudram
597,591641,Appasamudram
442,594764,Appecherla
442,594764,Appecherla
442,594764,Appecherla
53,590465,Appikatla
432,589476,Appikatla
296,595122,Appilepalle
439,596561,Appinapalle
347,586360,Arabupalem
425,583822,Aradagudem
406,580762,Aradala
477,596551,Aradigunta
582,596605,Aragonda
582,596605,Aragonda
218,596002,Arai
199,580453,Arakabhadra
490,592897,Arakatavemula
480,595018,Arakativemula
480,595018,Arakativemula
136,583876,Araku
